channel_name,channel_url,category,status,priority,last_scouted,notes
Liam Ottley,,AI agency operators,Pending review,A,,AI automation agency model; extract offer structure, fulfillment systems, client acquisition, delivery packaging.
Nick Saraev,,Automation and no-code builders,Pending review,A,,n8n automation; extract reusable workflows, client automation angles, and delivery SOPs.
Dave Ebbelaar,,Automation and code builders,Pending review,A,,Python AI workflows; extract technical implementation patterns BridgeWorks can adapt for client delivery.
Greg Isenberg,,Startup and offer strategy,Pending review,B,,AI startup ideas; extract productized service ideas, niche angles, and market timing.
Alex Hormozi,,Offers pricing and acquisition,Pending review,A,,Offer framing, pricing, guarantees, acquisition math; scout only tactical business/pricing videos.
Jason Wardrop,,Agency lead generation,Pending review,A,,Lead gen systems for agencies and local businesses; extract campaign and funnel patterns.
Iman Gadzhi,,Agency model and operations,Pending review,B,,Agency model, positioning, delivery mindset; filter out lifestyle and motivation-heavy content.
Matt Wolfe,,AI tools and automation,Pending review,B,,AI tools weekly; scout only practical tools that improve BridgeWorks workflows or client delivery.
Fireship,,Developer AI content,Pending review,C,,Developer AI trend radar; extract only relevant AI tooling, workflow, and implementation standards.
Simon Squibb,,Entrepreneurship,Pending review,C,,Entrepreneurship and business starts; extract positioning, founder psychology, and simple offer lessons.
Marc Lou,,Build in public and indie products,Pending review,B,,Fast product shipping and solo builder systems; extract build velocity, launch, and productized service ideas.
Bo Sar,,AI agency operators,Pending review,A,,AI agency, n8n, voice AI; extract client-ready automation offers and delivery workflows.
Zubair Trabzada,,GEO Claude Code and automation,Pending review,A,,Claude Code skills, GEO, n8n; high relevance for BridgeWorks GEO and automation fulfillment.
Nate Herk,,Automation and AI agency delivery,Pending review,A,,n8n plus Claude Code; extract sellable automation workflows, pricing, and fulfillment patterns.
Dan Koe,,Content systems and one-person business,Pending review,B,,Content repurposing and solo business; extract founder content systems and authority-building.
Tina Huang,,AI education and vibe coding,Pending review,B,,Vibe coding and AI education; extract workshop ideas, learning paths, and nontechnical education assets.
Austin Marchese,,Managed AI implementation,Pending review,A,,Managed AI implementation for service firms; extract delivery model, client communication, and implementation packages.
Michia Rohrssen,,Product validation and ads,Pending review,B,,Post-exit founder; extract validation-by-ads, offer testing, and market research frameworks.
Sandy Lee AI,,AI sales automation,Pending review,A,,AI sales automation and systems thinking; extract sales workflows and internal automation architecture.
Success With Sam,,Ecommerce and digital products,Pending review,C,,Dropshipping and digital products; extract only funnel, offer, and content packaging lessons.
Y Combinator,,Startup frameworks,Pending review,B,,Startup frameworks and AI-native companies; extract strategic frameworks that can sharpen BridgeWorks offers.
Vaibhav Sisinty,,AI-first growth and LinkedIn,Pending review,B,,AI-first business, growth, LinkedIn; extract LinkedIn growth systems and AI business positioning.
Jack Roberts,,AI automation agency operators,Pending review,A,,UK tech founder and AI automation; extract agency sales, delivery, and implementation models.
Eliot Prince,,AI productivity for business,Pending review,B,,AI for business professionals; extract client-friendly productivity workflows and training angles.
Build Great Products,,AI product design,Pending review,B,,AI product design and app advising; extract product design thinking for BridgeWorks apps and audits.
Paul J Lipsky,,Nontechnical AI business tools,Pending review,B,,Nontechnical AI use; extract client education and adoption angles for SME owners.
Patrick Dang,,B2B sales and outbound,Pending review,A,,B2B and tech sales; extract cold email, sales call, objection handling, and follow-up systems.
Dan Martell,,Client delivery and operator systems,Secondary backlog,B,,Useful for delegation, operating systems, client success, and agency discipline.
Lenny's Podcast,,Product and growth strategy,Secondary backlog,C,,Scout only episodes tied to growth, pricing, activation, retention, or GTM.
TK Kader,,B2B SaaS sales and GTM,Secondary backlog,B,,Useful for outbound, offers, and sales process; filter SaaS-only advice.
Wes McDowell,,Service business websites and conversion,Secondary backlog,A,,Useful for website strategy, CRO, service business trust, and lead capture.
Exposure Ninja,,SEO and digital marketing,Secondary backlog,B,,Useful for SEO, content, conversion, and audit frameworks.
MeasureSchool,,Analytics and tracking,Secondary backlog,B,,Useful for GA4, GTM, conversion tracking, and client reporting.
Ben Heath,,Service business ads and lead gen,Secondary backlog,C,,Useful for paid acquisition and ad audits when BridgeWorks needs ads execution support.
