Queue ID,Name / Company,Referral Type,Location,Contact Person,Role,Email,Phone,LinkedIn,Who They May Know,Referral Potential,Status,Usability Status,Priority Score,Channel,Language,English Confidence,Phone Allowed,Text Outreach Ready,DM Verification,Email Verification,Email Source,From Address,Sender Readiness,Automation Stage,Automation Blocker,Send Batch,Send Approved,Subject EN,Subject HU,Follow-up Due,Sent At,Reply Status,Thread ID,Next Action,First Message EN,First Message HU,First Message,Follow Up 1,Commission Notes,Notes
CEEFM-R-048,AmCham Hungary,American chamber of commerce,BP,Not found,Member services,Not found,Not found,linkedin.com/company/amcham-hungary,American businesses HU,Medium-High,Send now,Find verified decision maker,11,LinkedIn,EN+HU,Medium,No,No,Missing,Missing,,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not relevant - manual LinkedIn,Enrichment needed,missing verified decision maker; email missing,Hold,No,CEEFM referral partnership in Budapest,CEEFM partneri együttműködés Budapesten,,,,,Research membership cost,"Hi there, AmCham Hungary likely sits close to American businesses HU. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?","Szia there, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Hi there, AmCham Hungary likely sits close to American businesses HU. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?

---

Szia there, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Quick follow-up. If you ever need a reliable Budapest cleaning or FM partner for clients, CEEFM may be useful. Happy to send a short one-page partner note.",Network-based,Membership investment
CEEFM-R-049,British Chamber of Commerce HU,British chamber,BP,Not found,Member services,Not found,Not found,linkedin.com/company/british-chamber-of-commerce-in-hungary,British businesses HU,Medium-High,Send now,Find verified decision maker,11,LinkedIn,EN+HU,Medium,No,No,Missing,Missing,,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not relevant - manual LinkedIn,Enrichment needed,missing verified decision maker; email missing,Hold,No,CEEFM referral partnership in Budapest,CEEFM partneri együttműködés Budapesten,,,,,Research membership,"Hi there, British Chamber of Commerce HU likely sits close to British businesses HU. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?","Szia there, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Hi there, British Chamber of Commerce HU likely sits close to British businesses HU. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?

---

Szia there, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Quick follow-up. If you ever need a reliable Budapest cleaning or FM partner for clients, CEEFM may be useful. Happy to send a short one-page partner note.",Network,
CEEFM-R-032,Building Budapest Kft (cross-ref),Renovation + heritage,BP,Not found,MD,info@buildingbudapest.com,Not found,Not found,Residential + commercial renovation clients,Medium-High,Send now,Find verified decision maker,11,Email,EN+HU,Low,No,No,Missing,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Enrichment needed,missing verified decision maker; email generic only,Hold,No,CEEFM referral partnership in Budapest,CEEFM partneri együttműködés Budapesten,,,,,Email outreach,"Hi there, Building Budapest Kft (cross-ref) likely sits close to Residential + commercial renovation clients. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?","Szia there, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Hi there, Building Budapest Kft (cross-ref) likely sits close to Residential + commercial renovation clients. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?

---

Szia there, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Quick follow-up. If you ever need a reliable Budapest cleaning or FM partner for clients, CEEFM may be useful. Happy to send a short one-page partner note.",25%,Cross-ref from Tier 5
CEEFM-R-024,HBellorin Interior Design,Interior design + full renovation,BP,Not found,Principal,Not found,Not found,linkedin.com/company/hbellorin,Premium residential + commercial,Medium-High,Send now,Find verified decision maker,11,LinkedIn,EN+HU,Medium,No,No,Missing,Missing,,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not relevant - manual LinkedIn,Enrichment needed,missing verified decision maker; email missing,Hold,No,CEEFM referral partnership in Budapest,CEEFM partneri együttműködés Budapesten,,,,,Email + LinkedIn,"Hi there, HBellorin Interior Design likely sits close to Premium residential + commercial. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?","Szia there, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Hi there, HBellorin Interior Design likely sits close to Premium residential + commercial. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?

---

Szia there, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Quick follow-up. If you ever need a reliable Budapest cleaning or FM partner for clients, CEEFM may be useful. Happy to send a short one-page partner note.",25%,Each project ends in cleaning
CEEFM-R-040,Ingatlanmentorok.hu (dual),Foreign-owner property specialist,BP,Jekkel Béla,Founder,bela@ingatlanmentorok.hu,Not found,Not found,Foreign property owners,Medium-High,Send now,Needs verification,11,Email,EN+HU,Medium,No,No,Named in source workbook,Unverified direct-looking,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Hold,email unverified direct-looking,Hold,No,CEEFM referral partnership in Budapest,CEEFM partneri együttműködés Budapesten,,,,,Email outreach,"Hi Jekkel Béla, Ingatlanmentorok.hu (dual) likely sits close to Foreign property owners. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?","Szia Jekkel Béla, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Hi Jekkel Béla, Ingatlanmentorok.hu (dual) likely sits close to Foreign property owners. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?

---

Szia Jekkel Béla, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Quick follow-up. If you ever need a reliable Budapest cleaning or FM partner for clients, CEEFM may be useful. Happy to send a short one-page partner note.",20%,Dual-role
CEEFM-R-003,Inter Relocation Ltd,Corporate relocation,BP,Not found,MD,Not found,Not found,linkedin.com/company/inter-relocation,Corporate relocation,Medium-High,Send now,Find verified decision maker,11,LinkedIn,EN+HU,Medium,No,No,Missing,Missing,,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not relevant - manual LinkedIn,Enrichment needed,missing verified decision maker; email missing,Hold,No,CEEFM referral partnership in Budapest,CEEFM partneri együttműködés Budapesten,,,,,LinkedIn message,"Hi there, Inter Relocation Ltd likely sits close to Corporate relocation. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?","Szia there, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Hi there, Inter Relocation Ltd likely sits close to Corporate relocation. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?

---

Szia there, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Quick follow-up. If you ever need a reliable Budapest cleaning or FM partner for clients, CEEFM may be useful. Happy to send a short one-page partner note.",20%,
CEEFM-R-015,Managerent Kft (dual-role),PM for investors,XIII (Váci 22-24),Not found,MD,info@managerent.hu,+36 1 877 6200,Not found,Investor properties HU + Ireland,Medium-High,Send now,Find verified decision maker,11,Email,EN+HU,Low,No,No,Missing,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Enrichment needed,missing verified decision maker; email generic only,Hold,No,CEEFM referral partnership in Budapest,CEEFM partneri együttműködés Budapesten,,,,,Email outreach,"Hi there, Managerent Kft (dual-role) likely sits close to Investor properties HU + Ireland. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?","Szia there, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Hi there, Managerent Kft (dual-role) likely sits close to Investor properties HU + Ireland. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?

---

Szia there, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Quick follow-up. If you ever need a reliable Budapest cleaning or FM partner for clients, CEEFM may be useful. Happy to send a short one-page partner note.",20%,Dual-role. Irish partner.
CEEFM-R-010,Metropolitan Homes (mhomes),Boutique luxury real estate,Multi,Not found,Director,Not found,Not found,linkedin.com/company/metropolitan-homes-budapest,Luxury foreign buyers,Medium-High,Send now,Find verified decision maker,11,LinkedIn,EN+HU,Medium,No,No,Missing,Missing,,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not relevant - manual LinkedIn,Enrichment needed,missing verified decision maker; email missing,Hold,No,CEEFM referral partnership in Budapest,CEEFM partneri együttműködés Budapesten,,,,,Email + LinkedIn,"Hi there, Metropolitan Homes (mhomes) likely sits close to Luxury foreign buyers. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?","Szia there, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Hi there, Metropolitan Homes (mhomes) likely sits close to Luxury foreign buyers. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?

---

Szia there, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Quick follow-up. If you ever need a reliable Budapest cleaning or FM partner for clients, CEEFM may be useful. Happy to send a short one-page partner note.",20-25%,
CEEFM-R-004,Move One Ltd BP,International relocation,BP,Not found,MD,Not found,Not found,linkedin.com/company/move-one-inc,Intl movers expat households,Medium-High,Send now,Find verified decision maker,11,LinkedIn,EN+HU,Medium,No,No,Missing,Missing,,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not relevant - manual LinkedIn,Enrichment needed,missing verified decision maker; email missing,Hold,No,CEEFM referral partnership in Budapest,CEEFM partneri együttműködés Budapesten,,,,,LinkedIn message,"Hi there, Move One Ltd BP likely sits close to Intl movers expat households. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?","Szia there, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Hi there, Move One Ltd BP likely sits close to Intl movers expat households. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?

---

Szia there, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Quick follow-up. If you ever need a reliable Budapest cleaning or FM partner for clients, CEEFM may be useful. Happy to send a short one-page partner note.",20%,Global mover
CEEFM-R-013,Tower International Kft (dual-role),PM + sales,BP,Dávid Kirschner,Property Manager,info@towerbudapest.com,Not found,Not found,Property investors expats,Medium-High,Send now,Text only - generic inbox,11,Email,EN+HU,Medium,No,Yes,Named in source workbook,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Manual approval before email,email generic only,Hold,No,CEEFM referral partnership in Budapest,CEEFM partneri együttműködés Budapesten,,,,,Email Dávid,"Hi Dávid Kirschner, Tower International Kft (dual-role) likely sits close to Property investors expats. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?","Szia Dávid Kirschner, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Hi Dávid Kirschner, Tower International Kft (dual-role) likely sits close to Property investors expats. CEEFM is a Budapest FM and cleaning partner for apartments, relocation, hospitality, and managed properties. Could be a useful referral partner. Open to a 15-minute intro?

---

Szia Dávid Kirschner, a CEEFM budapesti takarítási és létesítményüzemeltetési partner. Olyan ügyfeleknek lehet hasznos, akiknél a beköltözés, vendégváltás vagy ingatlanüzemeltetés megbízható helyi szolgáltatót igényel. Van értelme egy rövid partneri hívásnak?","Quick follow-up. If you ever need a reliable Budapest cleaning or FM partner for clients, CEEFM may be useful. Happy to send a short one-page partner note.",20%,Dual-role
