content_id,issued_utc,brand,channel,year,week,notes
CONTENT-2026-32-BW-LI-01,2026-07-23T21:40:54+00:00,BW,LI,2026,32,Rejected for revision 2026-07-24: vague five-service introduction carousel; do not publish
CONTENT-2026-32-EE-LI-01,2026-07-23T21:40:54+00:00,EE,LI,2026,32,Rejected for revision 2026-07-24: founder SSL diagnosis draft; do not publish
CONTENT-2026-33-BW-LI-01,2026-07-23T21:40:54+00:00,BW,LI,2026,33,Rejected for revision 2026-07-24: company Digital Platforms draft; do not publish
CONTENT-2026-32-BW-LI-02,2026-07-24T09:59:46+00:00,BW,LI,2026,32,Approved central BridgeWorks introduction: build from zero or fix and grow
CONTENT-2026-30-BW-IG-01,2026-07-24T10:41:10+00:00,BW,IG,2026,30,VOID: production date used instead of proposed publication date; do not reuse or publish
CONTENT-2026-32-BW-IG-01,2026-07-24T10:41:22+00:00,BW,IG,2026,32,Approved-copy vertical video adaptation: build from zero or fix and grow; visual approval pending
CONTENT-2026-31-EE-LI-01,2026-07-25T08:02:44+00:00,EE,LI,2026,31,Approved BridgeWorks build-in-public launch teaser for 2026-07-28
CONTENT-2026-31-EE-LI-02,2026-07-25T08:02:44+00:00,EE,LI,2026,31,Approved BridgeWorks problem-recognition post for 2026-07-29
CONTENT-2026-31-EE-LI-03,2026-07-25T08:02:44+00:00,EE,LI,2026,31,Approved Emmanuel founder launch post for 2026-07-30
CONTENT-2026-31-BW-LI-01,2026-07-25T08:02:45+00:00,BW,LI,2026,31,Approved BridgeWorks formal launch carousel for 2026-07-30
CONTENT-2026-31-BW-IG-01,2026-07-25T08:02:45+00:00,BW,IG,2026,31,Approved Build From Zero launch Reel for BridgeWorks Instagram
CONTENT-2026-31-BW-FB-01,2026-07-25T08:02:45+00:00,BW,FB,2026,31,Approved Build From Zero launch Reel for BridgeWorks Facebook
CONTENT-2026-31-EE-IG-01,2026-07-25T08:02:45+00:00,EE,IG,2026,31,Approved Emmanuel Instagram collaboration on the BridgeWorks launch Reel
CONTENT-2026-31-EE-FB-01,2026-07-25T08:02:45+00:00,EE,FB,2026,31,Approved Emmanuel Facebook collaboration on the BridgeWorks launch
CONTENT-2026-31-BW-WA-01,2026-07-25T08:02:46+00:00,BW,WA,2026,31,Approved five-frame WhatsApp Status and manual Nigerian warm-contact broadcast
CONTENT-2026-31-BW-PIN-01,2026-07-25T08:02:46+00:00,BW,PIN,2026,31,Approved original Build From Zero Pinterest launch Pin
CONTENT-2026-31-BW-IG-02,2026-07-25T08:02:46+00:00,BW,IG,2026,31,Approved Fix And Grow follow-up Reel for BridgeWorks Instagram
CONTENT-2026-31-BW-FB-02,2026-07-25T08:02:46+00:00,BW,FB,2026,31,Approved Fix And Grow follow-up Reel for BridgeWorks Facebook
