prospect_id,status,lane,company,website,city,country,sector,trigger_observation,proof_to_use,source,contact_name,contact_role,contact_url,email,first_contact_sent,follow_up_1_sent,follow_up_2_sent,linkedin_touch,mini_observation_created,next_action,notes,evidence_urls,checked_at,canonical_domain,icp_segment,dedupe_key,evidence_state,outreach_authority
BW-P-d8a876be58,reviewed-unsent,Lane A Budapest credibility-first SMEs,Tower Budapest,https://www.towerbudapest.com/,Budapest,Hungary,Property management,690-review signal and strong international landlord offer,B2B credibility / CEEFM,market-research-sprint-2026-06-23.md + Emmanuel expanded search 2026-07-14,,,,,,,,,2026-06-23,Hold as benchmark unless a sharper live issue appears,Tower International Budapest is the same company; deduplicated. Lead Leak Review complete; no outreach sent.,,,towerbudapest.com,CEE credibility-first SME,towerbudapest.com,missing-or-stale,draft-only
BW-P-c1c1e9c216,drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Crystal Property Management,https://crystalproperty.hu/,Budapest,Hungary,Property management,English navigation typo and malformed-looking managing-director email,B2B credibility / CEEFM,live website check 2026-07-14,Eszter Solymar,Managing Director,https://crystalproperty.hu/,info@crystalproperty.hu,,,,,2026-07-14,Emmanuel approve first-touch email,"Live check found ""Property Mangement Services"" and a displayed address without .hu.",,,crystalproperty.hu,CEE credibility-first SME,crystalproperty.hu,missing-or-stale,draft-only
BW-P-d6951d53bc,sent-no-reply,Lane A Budapest credibility-first SMEs,Managerent,https://www.managerent.hu/,Budapest,Hungary,Property management,Experienced Budapest property management agency,AI Visibility Scan / CEEFM,market-research-sprint-2026-06-23.md,,,https://www.managerent.hu/,info@managerent.hu,2026-06-23,,,,2026-06-23,Hold further outreach. Check reply state and require a new exact approval before any recontact.,Gmail thread 19ef5cb9348d5278 has one sent message and no reply as of 2026-07-14. | Gmail message 19ef5dd74e105f4e sent 2026-06-23,,,managerent.hu,CEE credibility-first SME,managerent.hu,missing-or-stale,draft-only
BW-P-fa2ec6f6a4,sent-no-reply,Lane A Budapest credibility-first SMEs,A+ Real Estate,https://aplusproperty.hu/,Budapest,Hungary,Property services,Property buying selling and managing angle,CEEFM lead-routing example,market-research-sprint-2026-06-23.md,,,https://aplusproperty.hu/,info@aplusproperty.hu,2026-06-23,,,,2026-06-23,Hold further outreach. Check reply state and require a new exact approval before any recontact.,Gmail thread 19ef5cb9419fabdb has one sent message and no reply as of 2026-07-14. | Gmail message 19ef5daed0f1afc1 sent 2026-06-23,,,aplusproperty.hu,CEE credibility-first SME,aplusproperty.hu,missing-or-stale,draft-only
BW-P-3a8f2eabcb,drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Homever,https://homever.hu/en/,Budapest,Hungary,Property management,English homepage displays a Landlord's Recommendation 0+ counter,AI Visibility Scan / CEEFM,live website check 2026-07-14,Betti,Homever contact,https://homever.hu/en/,info@homever.hu,,,,,2026-07-14,Emmanuel approve first-touch email,Live page also confirms 100+ managed properties; 98% tenant retention; 95% on-time rent payments.,,,homever.hu,CEE credibility-first SME,homever.hu,missing-or-stale,draft-only
BW-P-c4b8df1a48,sent-no-reply,Lane A Budapest credibility-first SMEs,Craftex,https://craftex.hu/,Budapest,Hungary,Maintenance / renovation / fit-out,Owner-led-looking maintenance renovation and fit-out service,CEEFM lead-routing example,market-research-sprint-2026-06-23.md,,,https://craftex.hu/,info@craftex.hu,2026-06-23,,,,2026-06-23,Hold further outreach. Check reply state and require a new exact approval before any recontact.,Gmail thread 19ef5cb93d25d150 has one sent message and no reply as of 2026-07-14. | Gmail message 19ef5dbdaedfb5bf sent 2026-06-23,,,craftex.hu,CEE credibility-first SME,craftex.hu,missing-or-stale,draft-only
BW-P-d6a17ad341,drafted-awaiting-approval-test,Lane A Budapest credibility-first SMEs,Rustler Hungary,https://rustler.hu/en/facility-management/,Budapest,Hungary,Facility / property management,Four property types and a broad FM service list share one enquiry path,B2B credibility / CEEFM,live website check 2026-07-14,Zsolt Zeleznik,Head of Facility Management,https://rustler.hu/en/facility-management/,zeleznik@rustler.eu,,,,,2026-07-14,Emmanuel approve or hold test-segment first touch,Larger enterprise-style firm; use only as a separately approved test segment.,,,rustler.hu,CEE credibility-first SME,rustler.hu,missing-or-stale,draft-only
BW-P-3d623e0916,drafted-awaiting-approval-test,Lane A Budapest credibility-first SMEs,FRAME Group,https://frame.hu/en/services/facility-management/,Budapest,Hungary,Facility / maintenance,Contact page conflicts with header and footer on email phone and address,B2B credibility / CEEFM,live website check 2026-07-14,FRAME Group team,,https://frame.hu/en/contact/,home@frame.hu,,,,,2026-07-14,Emmanuel approve or hold test-segment first touch,Contact page shows home@frame.com and a different phone and address while header/footer show home@frame.hu; larger firm.,,,frame.hu,CEE credibility-first SME,frame.hu,missing-or-stale,draft-only
BW-P-b5b5edfab8,research,Lane A Budapest credibility-first SMEs,First Facility Hungary,https://firstfacility.hu/en,Budapest,Hungary,Facility / property management,Larger FM/PM provider and sector benchmark,CEEFM case study,market-research-sprint-2026-06-23.md,,,,,,,,,,benchmark only unless fit is clear,,,,firstfacility.hu,CEE credibility-first SME,firstfacility.hu,missing-or-stale,draft-only
BW-P-c5549c0125,research,Lane A Budapest credibility-first SMEs,ICON Real Estate Management,https://iconrem.hu/en/services/facility-management/,Budapest,Hungary,Facility / property management,Major office logistics and asset management language benchmark,CEEFM case study,market-research-sprint-2026-06-23.md,,,,,,,,,,benchmark only unless fit is clear,,,,iconrem.hu,CEE credibility-first SME,iconrem.hu,missing-or-stale,draft-only
