Company name,Company domain name,City,Country/Region,Description
Managerent,managerent.hu,Budapest,Hungary,BridgeWorks staging ID BW-P-d6951d53bc. Lane: Lane A Budapest credibility-first SMEs. Sector: Property management. Source: market-research-sprint-2026-06-23.md. Next internal action: Hold further outreach. Check reply state and require a new exact approval before any recontact.
A+ Real Estate,aplusproperty.hu,Budapest,Hungary,BridgeWorks staging ID BW-P-fa2ec6f6a4. Lane: Lane A Budapest credibility-first SMEs. Sector: Property services. Source: market-research-sprint-2026-06-23.md. Next internal action: Hold further outreach. Check reply state and require a new exact approval before any recontact.
Craftex,craftex.hu,Budapest,Hungary,BridgeWorks staging ID BW-P-c4b8df1a48. Lane: Lane A Budapest credibility-first SMEs. Sector: Maintenance / renovation / fit-out. Source: market-research-sprint-2026-06-23.md. Next internal action: Hold further outreach. Check reply state and require a new exact approval before any recontact.
Rustler Hungary,rustler.hu,Budapest,Hungary,BridgeWorks staging ID BW-P-d6a17ad341. Lane: Lane A Budapest credibility-first SMEs. Sector: Facility / property management. Source: live website check 2026-07-14. Next internal action: Emmanuel approve or hold test-segment first touch
FRAME Group,frame.hu,Budapest,Hungary,BridgeWorks staging ID BW-P-3d623e0916. Lane: Lane A Budapest credibility-first SMEs. Sector: Facility / maintenance. Source: live website check 2026-07-14. Next internal action: Emmanuel approve or hold test-segment first touch
First Facility Hungary,firstfacility.hu,Budapest,Hungary,BridgeWorks staging ID BW-P-b5b5edfab8. Lane: Lane A Budapest credibility-first SMEs. Sector: Facility / property management. Source: market-research-sprint-2026-06-23.md. Next internal action: benchmark only unless fit is clear
ICON Real Estate Management,iconrem.hu,Budapest,Hungary,BridgeWorks staging ID BW-P-c5549c0125. Lane: Lane A Budapest credibility-first SMEs. Sector: Facility / property management. Source: market-research-sprint-2026-06-23.md. Next internal action: benchmark only unless fit is clear
HR Time,hrtime.ro,Bucharest,Romania,BridgeWorks staging ID BW-P-03cea9032d. Lane: Lane B African-owned businesses in Europe. Sector: HR / services. Source: reports/geo-audits/GEO-AUDIT-hrtime-ro-2026-06-12.md. Next internal action: Verify Gmail history before any new contact
Romax Properties,romaxestate.com,Lagos,Nigeria,BridgeWorks staging ID BW-P-c46c8c6f7b. Lane: Deferred: West Africa later expansion. Sector: Real estate developer. Source: Emmanuel expanded search via Composio and ChatGPT 2026-07-14. Next internal action: Hold until first-30-day lane review
Whiten Lighten Tooth and Aesthetic Clinic,whitenlightentac.com,Lagos,Nigeria,BridgeWorks staging ID BW-P-9bce6b0b06. Lane: Deferred: West Africa later expansion. Sector: Dental / aesthetic clinic. Source: Emmanuel expanded search via Composio and ChatGPT 2026-07-14. Next internal action: Hold until first-30-day lane review
Gurcan Partners Law Firm,gurcanpartners.com,Budapest,Hungary,BridgeWorks staging ID BW-P-54b58d17bb. Lane: Lane A Budapest credibility-first SMEs. Sector: Law firm. Source: live website check 2026-07-14. Next internal action: Emmanuel approve or hold test-segment first touch
