Queue ID,Company Name,Segment,Tier,Location,Decision Maker,Role,Email,Phone,LinkedIn,Scale,Fit,Pain,Angle,Source,Status,Usability Status,Priority Score,Channel,Language,English Confidence,Phone Allowed,Text Outreach Ready,DM Verification,Email Verification,Email Source,From Address,Sender Readiness,Automation Stage,Automation Blocker,Send Batch,Send Approved,Subject EN,Subject HU,Follow-up Due,Sent At,Reply Status,Thread ID,Next Action,First Message EN,First Message HU,First Message,Follow Up 1,Notes
CEEFM-C-011,Gellerico Apartments,Serviced apartments,Tier 1,"V, VII",Panka / Balázs,Co-owners,info@gellerico.com,Not found,Not found,2+ properties,Multi-property bilingual owners,Tourist-dependent revenue cleanliness = revenue,Owner-operator peer trust pitch,aparthotel.com/hungary,Send now,Text only - generic inbox,19,Email,EN+HU,Medium,No,Yes,Named in source workbook,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Manual approval before email,email generic only,Batch 2 - approve generic inbox,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Email outreach,"Hi Panka, Gellerico Apartments looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?","Szia Panka, a(z) Gellerico Apartments típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi Panka, Gellerico Apartments looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?

---

Szia Panka, a(z) Gellerico Apartments típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",
CEEFM-C-003,Vagabond Group,Aparthotel chain,Tier 1,"VI, VII",William Hardy / Scott Haas,Managing Director / Owner,info@vagabondhospitality.com,Not found,linkedin.com/in/william-hardy-86518a50,"2+ BP (Soho 56 rooms, Grand'Or)",Growing multi-property in central Budapest,High turnover brand-conscious,Multi-property efficiency angle,myaparthotel.com/budapest,Send now,English text-ready,19,LinkedIn,EN+HU,High,Only after text reply,Yes,Named LinkedIn from reviewed sheet,Generic only,Reviewed Top 10 + company generic inbox,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not relevant - manual LinkedIn,Manual LinkedIn step,,Batch 1 - manual LinkedIn,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Send reviewed LinkedIn DM to William Hardy first,"Hi William, Vagabond Group looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?","Szia William, a(z) Vagabond Group típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi William, Vagabond Group looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?

---

Szia William, a(z) Vagabond Group típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",Council reviewed. Use Haas as fallback.
CEEFM-C-008,Walk Inn Apartments,Serviced apartments,Tier 1,"V, VII (Váci utca)",Réka Michaletzky,Walk Inn Apartments Budapest,info@walkinn.hu,Not found,hu.linkedin.com/in/reka-michaletzky,"2+ (Váci 42, Váci 78)",Multi-property on main pedestrian street,High guest turnover central premium,Premium street premium cleaning,cozycozy.com,Send now,English text-ready,19,LinkedIn,EN+HU,Medium,No,Yes,Named in source workbook,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not relevant - manual LinkedIn,Manual LinkedIn step,,Batch 1 - manual LinkedIn,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Send reviewed LinkedIn DM or HU email,"Hi Réka, Walk Inn Apartments looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?","Szia Réka, a(z) Walk Inn Apartments típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi Réka, Walk Inn Apartments looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?

---

Szia Réka, a(z) Walk Inn Apartments típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",Council reviewed. Use one language only.
CEEFM-C-022,Corvin Plaza Apartments & Suites,Aparthotel near shopping centre,Tier 1,VIII,Not found,Owner,info@corvinplaza.hu,Not found,Not found,20+ units,Boutique near Corvin Plaza,Mid-volume mid-market,Mid-market operational efficiency,inbudapesthotels.com,Qualify then send,Text only - generic inbox,17,Email,EN+HU,Medium,No,Yes,Role only / unverified,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Manual approval before email,email generic only,Batch 2 - approve generic inbox,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Cold email,"Hi there, Corvin Plaza Apartments & Suites looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?","Üdvözlöm, a(z) Corvin Plaza Apartments & Suites típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi there, Corvin Plaza Apartments & Suites looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?

---

Üdvözlöm, a(z) Corvin Plaza Apartments & Suites típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",
CEEFM-C-012,Karma Boutique Apartments,Boutique aparthotel,Tier 1,VII,Not found,Owner,info@karmabudapest.com,Not found,Not found,2+ properties,Boutique multi-property Jewish Quarter,Small operator cleaning in-house = pain,Outsource cleaning focus guests,myaparthotel.com,Qualify then send,Text only - generic inbox,17,Email,EN+HU,Medium,No,Yes,Role only / unverified,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Manual send only until sender DNS is fixed,Manual approval before email,email generic only,Batch 2 - approve generic inbox,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Cold email,"Hi there, Karma Boutique Apartments looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?","Üdvözlöm, a(z) Karma Boutique Apartments típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi there, Karma Boutique Apartments looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?

---

Üdvözlöm, a(z) Karma Boutique Apartments típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",
CEEFM-C-005,BudapestApartments.com (BA),Serviced apartment operator,Tier 1,Multi-district,Not found,Owner / Operations,office@budapestapartments.com,Not found,Not found,400-500+ apartments,Largest single-operator volume found,Volume scaling = cleaning chaos,Volume + compliance pitch,budapestapartments.com,Call first,Find verified decision maker,16,Phone,EN+HU,Medium,No - needs English speaker or Hungarian assist,No,Missing,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not ready for automated email,Enrichment needed,missing verified decision maker; email generic only,Hold,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Call +36 20 915 1029 to qualify FM outsourcing status and decision maker,"Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.","Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.","Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.",No written follow-up until the row has a named contact and send status.,Council reviewed. Possible embedded FM contractor setup.
CEEFM-C-004,Maverick Group (Mellow Mood Hotels),Hostel + apartment chain,Tier 1,"V, VII",Not found,Operations Director,info@maverickhotels.com,Not found,linkedin.com/company/mellow-mood-hotels,3+ properties under Mellow Mood,Multi-property under Mellow Mood umbrella,High turnover cost-conscious compliance-heavy,Limehome anchor + volume pricing,tripadvisor.com District VII,Call first,Find verified decision maker,16,Phone,EN+HU,Medium,No - needs English speaker or Hungarian assist,No,Missing,Generic only,Source workbook,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not ready for automated email,Enrichment needed,missing verified decision maker; email generic only,Hold,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Call +36 1 413 2062 and ask for operations manager or GM,"Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.","Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.","Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.",No written follow-up until the row has a named contact and send status.,Council reviewed. Hold until named DM is confirmed.
CEEFM-C-006,BQA Short Rent Kft,Boutique suites + apartments,Tier 1,"V, VI, VII",Shani Shamel Zada,Owner / Directing Manager,may@bqa-budapest.com,+36 70 621 2725,Not found,10+ apartments central,A-Z management of boutique suites,Quality-conscious central premium,Premium brand alignment - Limehome-grade,bqa-budapest.com,Send now,English text-ready,16,Email,EN+HU,High,Only after text reply,Yes,Named in source workbook,Direct - confirmed,Wave 1 enriched sheet + BQA website team page,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Blocked until Google DKIM/SPF alignment is fixed,Auto-email eligible,,Batch 1 - direct verified email,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Send bilingual email to Shani after final Hungarian QA,"Hi Shani, BQA Short Rent Kft looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?","Szia Shani, a(z) BQA Short Rent Kft típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi Shani, BQA Short Rent Kft looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?

---

Szia Shani, a(z) BQA Short Rent Kft típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",Wave 1 says 290 apartments and direct email confirmed.
CEEFM-C-001,Numa Group Hungary,Aparthotel digital-first,Tier 1,VII (Klauzál 8-10),Ladislav Szabo,Country Director Hungary,Not found,Not found,linkedin.com/in/ladislav-szabo,1 BP + 8000 EU-wide,Limehome twin. Launched Hungary Feb 2025 with GTC. No on-site staff.,New market entry. Vendor stack being built now.,Limehome reference - score uplift 8.9 to 9.4 in 24 months,press.numastays.com/gtc-and-numa-group-launch-in-hungary,Send now,English text-ready,16,LinkedIn,EN+HU,High,Only after text reply,Yes,Named LinkedIn from reviewed sheet,No email found,Reviewed Top 10,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not relevant - manual LinkedIn,Manual LinkedIn step,,Batch 1 - manual LinkedIn,No,FM support before Budapest peak season,FM támogatás a budapesti főszezon előtt,,,,,Send reviewed LinkedIn DM to Ladislav Szabo,"Hi Ladislav, Numa Group Hungary looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?","Szia Ladislav, a(z) Numa Group Hungary típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Hi Ladislav, Numa Group Hungary looks like the kind of Budapest operator where guest turnover, cleaning reliability, and maintenance handoffs can decide review quality during peak season. We work with CEEFM to consolidate FM under one local provider. Worth a 15-minute call?

---

Szia Ladislav, a(z) Numa Group Hungary típusú működésnél a takarítás és karbantartás megbízhatósága gyorsan ügyfélpanasszá válik. A CEEFM budapesti FM partnerként segít ezt egy átlátható havi szerződésbe rendezni. Összefér egy 15 perces hívás?","Quick follow-up. The useful part may simply be a short benchmark: where cleaning, maintenance, and handoff risk usually leak time before peak season. Open to a 15-minute call?",Council reviewed. LinkedIn DM only.
CEEFM-C-048,Országos Társasház és Ingatlankezelő Holding Kft,HOA management holding,Tier 2,Multi-region,Sándor Roland,MD,Not found,Not found,Not found,Holding entity - multiple,Holding company multi-property portfolio,Holding structure standardisation opportunity,Portfolio standardisation pitch,nemzeticegtar.hu,Find contact,Needs verification,14,Research,EN+HU,Low,No,No,Named in source workbook,Missing,,office.ceefm@gmail.com via office@ceefm.eu forwarder setup,Not ready for automated email,Hold,email missing,Hold,No,Cleaning and maintenance support for managed properties,Takarítási és karbantartási támogatás kezelt ingatlanokhoz,,,,,Cégtár lookup,"Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.","Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.","Call or research first. Get a named operations, GM, property, or FM decision maker before sending written outreach.",No written follow-up until the row has a named contact and send status.,
