id,date_added,campaign,market,niche,company,website,city,country,contact_name,contact_role,email,linkedin,source,source_tool,skill_used,signal_found,growth_leak,offer_fit,recommended_service,estimated_value,priority_score,priority,status,next_action_date,outreach_angle,message_1,follow_up_1,follow_up_2,gmail_draft_id,last_contacted_date,reply_status,notes
P-0001,2026-05-17,CEE Property Services Sprint,CEE,Property management,Homerun,https://issbudapest.hu/,Budapest,Hungary,,,,Google Search,Web search,prospecting-department,Short-term rental and home management with cleaning and maintenance services,Strong service range but likely needs sharper lead capture and owner trust proof,Speed-to-lead plus website conversion audit,AI Audit,EUR 500 to 1500,14,B,Qualified,2026-05-18,Website conversion leak,Draft a teardown around owner enquiry path and proof for landlords,,,,,,Seed prospect from web search,
P-0002,2026-05-17,CEE Property Services Sprint,CEE,Property management,Pyramidon,https://pyramidon.hu/en/,Budapest,Hungary,,,,Google Search,Web search,prospecting-department,Premium residential property management with 6500+ apartments and 35+ years experience,Strong proof exists but could be converted into stronger enquiry flow and AI-visible structured evidence,Proof and AI visibility audit,AI Audit,EUR 500 to 1500,17,A,Qualified,2026-05-18,Proof gap,Draft a teardown around turning existing proof into better conversion and AI visibility,,,,,,High-priority because proof signals are strong,
P-0003,2026-05-17,CEE Property Services Sprint,CEE,Property management,Go2Flats,https://www.go2flats.com/,Budapest,Hungary,,,,Google Search,Web search,prospecting-department,Apartment rental and management company operating in Budapest since 2013,Likely opportunity to strengthen owner acquisition path and lead follow-up,Website conversion audit,AI Audit,EUR 500 to 1500,13,B,Qualified,2026-05-18,Website conversion leak,Draft a teardown around owner acquisition and property management enquiry flow,,,,,,Seed prospect from web search,
P-0004,2026-05-17,CEE Property Services Sprint,CEE,Property management,Tower Budapest,https://www.towerbudapest.com/,Budapest,Hungary,,,,Google Search,Web search,prospecting-department,Large Budapest property management company with landlord services and property sales,Strong category fit but may be more established and harder to reach,AI visibility and conversion audit,AI Audit,EUR 500 to 1500,15,B,Qualified,2026-05-18,AI visibility gap,Draft a teardown around AI visibility for landlord services and property management searches,,,,,,Established player,
P-0005,2026-05-17,CEE Property Services Sprint,CEE,Office cleaning,Geiger Services,https://www.geigerservices.hu/en,Budapest,Hungary,,,,Google Search,Web search,prospecting-department,Professional office cleaning with English page and broad service list,Website can likely improve quote path and B2B trust signals,Speed-to-lead plus website conversion audit,AI Audit,EUR 500 to 1500,16,A,Qualified,2026-05-18,Speed-to-lead risk,Draft a teardown around quote request response and commercial cleaning trust signals,,,,,,English page makes outreach easier,
P-0006,2026-05-17,CEE Property Services Sprint,CEE,Office cleaning,Kavezo Kft,https://kavezokft.hu/en/,Budapest,Hungary,,,,Google Search,Web search,prospecting-department,Office cleaning company with free quote and site visit offer,Good offer exists but lead capture and follow-up can likely be tightened,Speed-to-lead system,AI Growth Systems Starter,EUR 1500 to 3000,15,B,Qualified,2026-05-18,Speed-to-lead risk,Draft a teardown around free quote follow-up and response promise,,,,,,Seed prospect from web search,
P-0007,2026-05-17,CEE Property Services Sprint,CEE,Cleaning company,TakaritokEU,https://www.takaritok.eu/,Budapest,Hungary,,,,Google Search,Web search,prospecting-department,Cleaning company with quote request and visible phone/email,Hungarian-first site may need stronger B2B segmentation and trust flow,Website conversion audit,AI Audit,EUR 500 to 1500,13,B,Qualified,2026-05-18,Website conversion leak,Draft HU-aware teardown around quote path and business cleaning segmentation,,,,,,May need Hungarian outreach,
P-0008,2026-05-17,CEE Property Services Sprint,CEE,Cleaning company,CsikyGroup,https://csikygroup.hu/,Budapest,Hungary,,,,Google Search,Web search,prospecting-department,Cleaning company with experience claims and references,Strong proof claims could be organized into a clearer conversion path,Proof gap,AI Audit,EUR 500 to 1500,14,B,Qualified,2026-05-18,Proof gap,Draft a teardown around references and quote path clarity,,,,,,May need Hungarian outreach,
P-0009,2026-05-17,CEE Property Services Sprint,CEE,Cleaning company,Nevoxa,https://www.nevoxa.hu/,Budapest,Hungary,,,,Google Search,Web search,prospecting-department,Budapest cleaning company with service positioning,Likely opportunity to improve proof and quote conversion,Website conversion audit,AI Audit,EUR 500 to 1500,12,B,Qualified,2026-05-18,Website conversion leak,Draft a teardown after checking quote path and trust signals,,,,,,Needs deeper review,
P-0010,2026-05-17,CEE Property Services Sprint,CEE,Property management,Crystal Property,https://crystalproperty.hu/,Budapest,Hungary,,,,Google Search,Web search,prospecting-department,Property and condominium management for investors and landlords,Good fit for investor trust proof and AI visibility,AI visibility and proof audit,AI Audit,EUR 500 to 1500,15,B,Qualified,2026-05-18,AI visibility gap,Draft a teardown around landlord/investor discovery and structured proof,,,,,,Seed prospect from web search,
