status,lane,company,website,city,country,sector,trigger_observation,proof_to_use,source,contact_name,contact_role,contact_url,email,first_contact_sent,follow_up_1_sent,follow_up_2_sent,linkedin_touch,mini_observation_created,next_action,notes,evidence_urls,checked_at,canonical_domain
reviewed-unsent,Lane A Budapest credibility-first SMEs,Tower Budapest,https://www.towerbudapest.com/,Budapest,Hungary,Property management,690-review signal and strong international landlord offer,B2B credibility / CEEFM,market-research-sprint-2026-06-23.md + Emmanuel expanded search 2026-07-14,,,,,,,,,2026-06-23,Hold as benchmark unless a sharper live issue appears,Tower International Budapest is the same company; deduplicated. Lead Leak Review complete; no outreach sent.,,,towerbudapest.com
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Crystal Property Management,https://crystalproperty.hu/,Budapest,Hungary,Property management,English navigation typo and malformed-looking managing-director email,B2B credibility / CEEFM,live website check 2026-07-14,Eszter Solymar,Managing Director,https://crystalproperty.hu/,info@crystalproperty.hu,,,,,2026-07-14,Emmanuel approve first-touch email,"Live check found ""Property Mangement Services"" and a displayed address without .hu.",,,crystalproperty.hu
sent-no-reply,Lane A Budapest credibility-first SMEs,Managerent,https://www.managerent.hu/,Budapest,Hungary,Property management,Experienced Budapest property management agency,AI Visibility Scan / CEEFM,market-research-sprint-2026-06-23.md,,,https://www.managerent.hu/,info@managerent.hu,2026-06-23,,,,2026-06-23,Hold further outreach. Check reply state and require a new exact approval before any recontact.,Gmail thread 19ef5cb9348d5278 has one sent message and no reply as of 2026-07-14. | Gmail message 19ef5dd74e105f4e sent 2026-06-23,,,managerent.hu
sent-no-reply,Lane A Budapest credibility-first SMEs,A+ Real Estate,https://aplusproperty.hu/,Budapest,Hungary,Property services,Property buying selling and managing angle,CEEFM lead-routing example,market-research-sprint-2026-06-23.md,,,https://aplusproperty.hu/,info@aplusproperty.hu,2026-06-23,,,,2026-06-23,Hold further outreach. Check reply state and require a new exact approval before any recontact.,Gmail thread 19ef5cb9419fabdb has one sent message and no reply as of 2026-07-14. | Gmail message 19ef5daed0f1afc1 sent 2026-06-23,,,aplusproperty.hu
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Homever,https://homever.hu/en/,Budapest,Hungary,Property management,English homepage displays a Landlord's Recommendation 0+ counter,AI Visibility Scan / CEEFM,live website check 2026-07-14,Betti,Homever contact,https://homever.hu/en/,info@homever.hu,,,,,2026-07-14,Emmanuel approve first-touch email,Live page also confirms 100+ managed properties; 98% tenant retention; 95% on-time rent payments.,,,homever.hu
sent-no-reply,Lane A Budapest credibility-first SMEs,Craftex,https://craftex.hu/,Budapest,Hungary,Maintenance / renovation / fit-out,Owner-led-looking maintenance renovation and fit-out service,CEEFM lead-routing example,market-research-sprint-2026-06-23.md,,,https://craftex.hu/,info@craftex.hu,2026-06-23,,,,2026-06-23,Hold further outreach. Check reply state and require a new exact approval before any recontact.,Gmail thread 19ef5cb93d25d150 has one sent message and no reply as of 2026-07-14. | Gmail message 19ef5dbdaedfb5bf sent 2026-06-23,,,craftex.hu
drafted-awaiting-approval-test,Lane A Budapest credibility-first SMEs,Rustler Hungary,https://rustler.hu/en/facility-management/,Budapest,Hungary,Facility / property management,Four property types and a broad FM service list share one enquiry path,B2B credibility / CEEFM,live website check 2026-07-14,Zsolt Zeleznik,Head of Facility Management,https://rustler.hu/en/facility-management/,zeleznik@rustler.eu,,,,,2026-07-14,Emmanuel approve or hold test-segment first touch,Larger enterprise-style firm; use only as a separately approved test segment.,,,rustler.hu
drafted-awaiting-approval-test,Lane A Budapest credibility-first SMEs,FRAME Group,https://frame.hu/en/services/facility-management/,Budapest,Hungary,Facility / maintenance,Contact page conflicts with header and footer on email phone and address,B2B credibility / CEEFM,live website check 2026-07-14,FRAME Group team,,https://frame.hu/en/contact/,home@frame.hu,,,,,2026-07-14,Emmanuel approve or hold test-segment first touch,Contact page shows home@frame.com and a different phone and address while header/footer show home@frame.hu; larger firm.,,,frame.hu
research,Lane A Budapest credibility-first SMEs,First Facility Hungary,https://firstfacility.hu/en,Budapest,Hungary,Facility / property management,Larger FM/PM provider and sector benchmark,CEEFM case study,market-research-sprint-2026-06-23.md,,,,,,,,,,benchmark only unless fit is clear,,,,firstfacility.hu
research,Lane A Budapest credibility-first SMEs,ICON Real Estate Management,https://iconrem.hu/en/services/facility-management/,Budapest,Hungary,Facility / property management,Major office logistics and asset management language benchmark,CEEFM case study,market-research-sprint-2026-06-23.md,,,,,,,,,,benchmark only unless fit is clear,,,,iconrem.hu
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Premier Property Management,https://premierpropertymanagement.hu/,Budapest,Hungary,Property management,Footer misspells the company name and proof near the main claim is thin,AI Visibility Scan / CEEFM,live website check 2026-07-14,Kata Zabeczki,Managing Director,https://premierpropertymanagement.hu/,kata@ppmgt.hu,,,,,2026-07-14,Emmanuel approve first-touch email,"Live footer displays ""Premier Propery Management Ltd.""; direct contact confirmed.",,,premierpropertymanagement.hu
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Interház,https://interhaz.hu/en/,Budapest,Hungary,Property management,International-owner clarity for condominium management,AI Visibility Scan / CEEFM,02-lead-leak-reviews/batch-2,Interház team,,https://interhaz.hu/en/,info@interhaz.hu,,,,,2026-06-23,Emmanuel approve first-touch email,Existing batch-2 review refreshed into Lane A packet; current automated page recheck blocked by anti-bot layer.,,,interhaz.hu
research,Lane A Budapest credibility-first SMEs,Professional Office Cleaning Hungary,,Budapest,Hungary,Commercial cleaning,Office cleaning and recurring service demand,CEEFM infrastructure proof,market-research-sprint-2026-06-23.md,,,,,,,,,,quick fit check if property lane weak,,,,
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Takarító Kommandó,https://www.takaritokommando.hu/,Budapest,Hungary,Commercial cleaning,Hungarian and English sites use different brand and email routes,CEEFM infrastructure proof,live website check 2026-07-14,Takarító Kommandó team,,https://www.takaritokommando.hu/,takaritokommando@gmail.com,,,,,2026-07-14,Emmanuel approve first-touch email,English site lists office.cleaningcommando@gmail.com; copy uses only the contact-path inconsistency.,,,takaritokommando.hu
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,FirstClean,https://firstclean.hu/home,Budapest,Hungary,Commercial cleaning,English homepage contains property-search and placeholder template leftovers,CEEFM infrastructure proof,live website check 2026-07-14,FirstClean team,,https://firstclean.hu/home,office@firstclean.hu,,,,,2026-07-14,Emmanuel approve first-touch email,Live page shows To Let / For Sale filter; Section title; and COMPANY HEADQUEARTERS beside strong commercial proof.,,,firstclean.hu
research,Lane A Budapest credibility-first SMEs,Expert Cleaning Service,,Budapest,Hungary,Commercial cleaning,Commercial cleaning directory evidence,CEEFM infrastructure proof,market-research-sprint-2026-06-23.md,,,,,,,,,,quick fit check,,,,
research,Lane A Budapest credibility-first SMEs,R-SEC Security,,Budapest,Hungary,Security services,Trust-heavy regulated service with visible credibility needs,CEEFM credibility proof,market-research-sprint-2026-06-23.md,,,,,,,,,,watchlist only,,,,
research,Lane A Budapest credibility-first SMEs,Securitas Hungary,,Budapest,Hungary,Security services,Security benchmark in local directory evidence,CEEFM credibility proof,market-research-sprint-2026-06-23.md,,,,,,,,,,benchmark/watchlist only,,,,
research,Lane A Budapest credibility-first SMEs,Medicare Dental Clinic,,Budapest,Hungary,Dental/private clinic,High-value clinic market but competitive,AI Visibility Scan,market-research-sprint-2026-06-23.md,,,,,,,,,,later lane,,,,
drafted-awaiting-approval,Lane A Budapest credibility-first SMEs,Budapest Dental Solutions,https://www.budapestdentalsolutions.com/about-us,Budapest,Hungary,Dental/private clinic,Visible English errors sit on the main international-patient trust page,AI Visibility Scan,live website check 2026-07-14,Gabor Hajas,Clinic Manager,https://www.budapestdentalsolutions.com/about-us,hello@budapestdentalsolutions.com,,,,,2026-07-14,Emmanuel approve first-touch email,Copy uses only visible spelling and grammar issues; no medical-performance claims.,,,budapestdentalsolutions.com
research,Lane A Budapest credibility-first SMEs,Dental Treatment Hungary,,Budapest,Hungary,Dental/private clinic,High-value clinic market but competitive,AI Visibility Scan,market-research-sprint-2026-06-23.md,,,,,,,,,,later lane,,,,
research-high-scale,Lane A Budapest credibility-first SMEs,Helvetic Clinics,,Budapest,Hungary,Dental/private clinic,4.9 rating and 3506 reviews; existing scale,Premium AI Visibility Audit,market-research-sprint-2026-06-23.md + Emmanuel expanded search 2026-07-14,,,,,,,,,,Later premium-audit lane,Do not pitch a website rebuild; this is the same Helvetic Clinics already in the batch.,,,
