batch_id,wave,prospect_id,company,contact,to,subject,body,evidence,source_status,approval_state,sending_authority,follow_up_1_due,follow_up_2_due
BW-OUTREACH-2026-07-26,priority,BW-P-3a8f2eabcb,Homever,Betti,info@homever.hu,One visible trust issue on Homever's English homepage,"Hi Betti,

I was reviewing Budapest property management firms and noticed one visible issue on Homever's English homepage.

The site has strong proof: 100+ managed properties, 98% tenant retention, and 95% on-time rent payments. But the earlier `Landlord's Recommendation` counter currently reads `0+`.

That may weaken trust before a landlord reaches the stronger numbers further down the page. I noted three small fixes around that proof and enquiry path.

Happy to send them if useful.

Best,
Emmanuel Ehigbai
BridgeWorks
office@bridgeworks.agency",https://homever.hu/en/,drafted-awaiting-approval,awaiting_explicit_approval,none,set only after verified send + 3 business days,set only after verified send + 7 business days
BW-OUTREACH-2026-07-26,priority,BW-P-c1c1e9c216,Crystal Property Management,"Eszter Solymar, Managing Director",info@crystalproperty.hu,Two small English-site trust leaks at Crystal Property,"Hi Eszter,

I was reviewing Budapest property managers that serve foreign investors and noticed two small trust leaks on Crystal Property's English site.

The navigation says `Property Mangement Services`. The managing-director email is also displayed as `eszter.solymar@crystalproperty`, without the `.hu` ending.

Both are small, but they sit in places where an overseas owner is deciding whether the company feels careful enough to manage a valuable asset.

I noted three practical fixes. Happy to send them if useful.

Best,
Emmanuel Ehigbai
BridgeWorks
office@bridgeworks.agency",https://crystalproperty.hu/,drafted-awaiting-approval,awaiting_explicit_approval,none,set only after verified send + 3 business days,set only after verified send + 7 business days
BW-OUTREACH-2026-07-26,priority,BW-P-5a877539d2,Premier Property Management,"Kata Zabeczki, Managing Director",kata@ppmgt.hu,Small trust issue on Premier's property management site,"Hi Kata,

I was reviewing Budapest property management firms and noticed one small trust issue on Premier's site.

The footer currently spells the company name as `Premier Propery Management Ltd.`. The homepage also leads with a best-service claim, but the strongest proof is not visible beside that claim.

This looks like a small proof and enquiry-path cleanup, not a rebuild. I noted three practical fixes.

Happy to send them if useful.

Best,
Emmanuel Ehigbai
BridgeWorks
office@bridgeworks.agency",https://premierpropertymanagement.hu/,drafted-awaiting-approval,awaiting_explicit_approval,none,set only after verified send + 3 business days,set only after verified send + 7 business days
BW-OUTREACH-2026-07-26,priority,BW-P-3c39f4b741,Loffice,Loffice Budapest team,hello@loffice.hu,Two outdated offers on Loffice's current coworking page,"Hi Loffice team,

I was comparing Budapest coworking options and noticed two items on your current English booking page that may create uncertainty.

The page still presents the 1 HUF COVID-19 small-business offer, and the FAQ lists an `Loffice15` discount that expired on 31 December 2024. They sit beside current packages and a 2026 copyright.

The offer itself is strong. This looks like a small content-governance and booking-path cleanup so buyers can tell immediately what is current.

I noted three practical fixes. Happy to send them if useful.

Best,
Emmanuel Ehigbai
BridgeWorks
office@bridgeworks.agency",https://loffice.hu/budapest/en/coworking/index.php,drafted-awaiting-approval,awaiting_explicit_approval,none,set only after verified send + 3 business days,set only after verified send + 7 business days
BW-OUTREACH-2026-07-26,priority,BW-P-82c5eb5270,Rentify.hu,"Adam Ribarics, Managing Director",hello@rentify.hu,Small trust gap on Rentify's English landlord page,"Hi Adam,

I was reviewing Budapest property managers serving international owners and noticed a small trust gap on Rentify's English page.

The page makes consequential claims about empty-property cost and rent arrears, but no source is visible beside them. Nearby copy includes `Proactivness`, `resolve all problem`, and `commited`.

The service proposition is strong. Tightening the proof and English copy could make it feel as careful as the property-management process itself.

I noted three practical fixes. Happy to send them if useful.

Best,
Emmanuel Ehigbai
BridgeWorks
office@bridgeworks.agency",https://rentify.hu/en/,drafted-awaiting-approval,awaiting_explicit_approval,none,set only after verified send + 3 business days,set only after verified send + 7 business days
BW-OUTREACH-2026-07-26,priority,BW-P-7988fb301a,NYOLCAS.COM,Nyolcas.com team,info@nyolcas.com,Conflicting property-management proof on Nyolcas.com,"Hi Nyolcas.com team,

I was reviewing Budapest property managers and noticed one proof inconsistency on your English landlord page.

The top of the page says `1400+ managed flats`, while a proof counter shortly below says `400 managed flats`. Both sit beside strong ratings and landlord guarantees.

For an overseas owner comparing providers, that difference may make the strongest proof harder to trust. This looks like a small proof and copy cleanup, not a rebuild.

I noted three practical fixes. Happy to send them if useful.

Best,
Emmanuel Ehigbai
BridgeWorks
office@bridgeworks.agency",https://www.nyolcas.com/en/property-management/,drafted-awaiting-approval,awaiting_explicit_approval,none,set only after verified send + 3 business days,set only after verified send + 7 business days
BW-OUTREACH-2026-07-26,priority,BW-P-5141c7f1fc,Interhaz,Interhaz team,info@interhaz.hu,A clearer international-owner path for Interhaz,"Hi Interhaz team,

I was reviewing Budapest condominium managers and noticed a small opportunity in the English decision path.

Your service has a strong foundation: 20+ years of project management experience and economic, technical, and legal expertise. The appointment process is detailed, but an international owner or residents' group may have to work hard to understand the next step.

A simple `how to change condominium manager` path could make that decision feel safer without changing the underlying site.

I noted three practical fixes. Happy to send them if useful.

Best,
Emmanuel Ehigbai
BridgeWorks
office@bridgeworks.agency",https://interhaz.hu/en/; detailed review recorded 2026-06-23. Current automated recheck was blocked by the site's anti-bot layer.,drafted-awaiting-approval,awaiting_explicit_approval,none,set only after verified send + 3 business days,set only after verified send + 7 business days
BW-OUTREACH-2026-07-26,priority,BW-P-a7ef4dd95b,Takarito Kommando,Takarito Kommando team,takaritokommando@gmail.com,One contact-path inconsistency for international cleaning enquiries,"Hi Takarito Kommando team,

I was reviewing Budapest commercial cleaning firms and noticed one small contact-path inconsistency.

The Hungarian site lists `takaritokommando@gmail.com`, while the English Cleaning Commando site lists `office.cleaningcommando@gmail.com`. Both present the same Hungarian business and service history.

For an international office or facility buyer, two brand and email routes can create uncertainty about which one is current.

I noted three small fixes that could make the B2B enquiry path clearer. Happy to send them if useful.

Best,
Emmanuel Ehigbai
BridgeWorks
office@bridgeworks.agency",https://www.takaritokommando.hu/ and https://www.cleaningcommando.com/about-us,drafted-awaiting-approval,awaiting_explicit_approval,none,set only after verified send + 3 business days,set only after verified send + 7 business days
BW-OUTREACH-2026-07-26,priority,BW-P-7a9f82b3e4,FirstClean,FirstClean team,office@firstclean.hu,Template leftovers on FirstClean's English homepage,"Hi FirstClean team,

I was reviewing Budapest commercial cleaning firms and noticed a few template leftovers on FirstClean's English homepage.

The page contains a `To Let / For Sale` property filter near the top, a visible `Section title`, and `COMPANY HEADQUEARTERS` in the proof section. That sits beside strong commercial references and detailed equipment proof.

Removing those leftovers could make the English buyer journey feel as polished as the service evidence already on the page.

I noted three practical fixes. Happy to send them if useful.

Best,
Emmanuel Ehigbai
BridgeWorks
office@bridgeworks.agency",https://firstclean.hu/home,drafted-awaiting-approval,awaiting_explicit_approval,none,set only after verified send + 3 business days,set only after verified send + 7 business days
BW-OUTREACH-2026-07-26,priority,BW-P-b72e5df668,Budapest Dental Solutions,"Gabor Hajas, Clinic Manager",hello@budapestdentalsolutions.com,Small English trust leaks on your international-patient page,"Hi Gabor,

I was reviewing Budapest clinics serving international patients and noticed several small English trust leaks on your main credibility page.

The page speaks directly to nervous patients and presents 15+ years of dental-tourism experience, but visible copy includes `comprimise`, `eye for detial`, `gurantee`, and `Privacy Policiy`.

The clinical offer may be strong. Cleaning up those high-trust moments could make the first impression match the patient support you describe.

I noted three practical fixes. Happy to send them if useful.

Best,
Emmanuel Ehigbai
BridgeWorks
office@bridgeworks.agency",https://www.budapestdentalsolutions.com/about-us,drafted-awaiting-approval,awaiting_explicit_approval,none,set only after verified send + 3 business days,set only after verified send + 7 business days
