relative_path,bytes,sha256,classification,target,disposition,provenance_rule
AI-VISIBILITY-REPORT-DRAFT-2026.md,27131,14a0813e1679d3735fab1081327c862ad25e4cae76bae0a623e88440fd5b0a20,proof inventory,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
AI-VISIBILITY-REPORT-OUTLINE-2026.md,2701,83223905003b5af0ed3f8def99dae6440df95ef0cebe9d4fa74d52e7f124a1f3,proof inventory,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
approvals/BRIDGEWORKS-WEBSITE-CLAIM-CORRECTION-PACKET-2026-07-14.md,7368,0d742c35f6c2705c90485ed9bcfc30c0fe4c3e413c668dd0b65ae94496b4afc8,approval packet,approvals,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
approvals/LANE-A-FIRST-CONTACT-APPROVAL-PACKET-2026-07-14.md,13799,e8721d5ab3611587fff7977988c14b44627a0c66b8faf0a86715c15bdde8d189,approval packet,approvals,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
approvals/NO-OWNED-SITE-OUTREACH-PACKET-2026-07-14.md,3884,ded47164e9719030680f1ac12c7d7dcfb24a9c539ec89cd6607aca4e4b4ddf43,approval packet,approvals,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
approvals/OUTREACH-APPROVAL-PACKET-2026-07-14.md,5452,61bc33db28aa11f387533b7b4bc30b3659367c6984ac7995c5dd9580f1d0d780,approval packet,approvals,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
approvals/WEEK-ONE-CONSOLIDATED-REVIEW-2026-07-14.md,9745,1b5d12ef3e42be26664cf18373aaef93b78e69c81247b941345d8a3342758a37,approval packet,approvals,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
approvals/WEEK-ONE-LINKEDIN-PUBLISH-BUNDLES-2026-07-14.md,4678,5db8a0f5b70a5ac1c47e2e55c07efdd5fb1e8f16c96d8020fe633f607c0d38d4,approval packet,approvals,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
approvals/WEEK-ONE-RELATIONSHIP-AND-REFERRAL-PACKET-2026-07-14.md,7928,46a28c6d63f9ee6b67cefbe0be6f556f2ef58175e33ef28517ac4b27c9b09639,approval packet,approvals,IMPORT_RECONCILED,"preserve source path, SHA-256, source URL/date fields, and original status"
ASSET-MANIFEST-2026-07-15.md,1977,fefccce8f0711dc40a90c9317c212333c09b1afbad3cde70312de2e55afbbc3b,proof inventory,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
CEEFM-PROOF-INVENTORY-2026-07-14.md,3517,7797bcd67ceb7dc816615a9e8a6abc962c060dbf7ca9639935e8986b6acb3acd,proof inventory,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
CEEFM-PROOF-MODULES-2026-07-14.md,3422,b05655ed78ed66525aaa627c555ffd11e057071fae2ab0c570ef636df04f42d3,proof inventory,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
CONTENT-CHANNEL-INVENTORY-2026-07-14.md,3693,bc5ea3026464e459c07550422cc005f6de15d97efbeb0605c7ed4936129d7bf3,reporting,learning,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
CONTENT-PIPELINE-2026-07-14.md,5688,6fff15c2e8ba6c0eee1b91d9849389b4ee51d4e2384a358f17f47da27cf08f8b,reporting,learning,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
content/WEEK-01-AUTHORITY-QUEUE-2026-07-20.md,13039,cbd09cb3f2dcfab6dac7586bf87755b58254dc871107e90efde145bf1c973784,reporting,learning,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
CURRENT-STATE-AUDIT-2026-07-14.md,13973,5a0f76d938ea1137b4e03e4d79dc7a24c4c84e8885f2a04f69c19d272b3eae88,historical artifact,learning,LEARNING_ARCHIVE,"preserve source path, SHA-256, source URL/date fields, and original status"
EXPANDED-PROSPECT-VERIFICATION-2026-07-14.md,4740,16ce84f60f2a9c256642da48b64011ad72cb765e4b96b61563e426480556e5e4,research evidence,evidence,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
MARKET-MONEY-DISCOURSE-OPERATING-BRIEF-2026-08-01.md,8285,265ef73e0ff85706a5999e7e29784307ffabbba535baf33352ecd49d1c9d7a85,trigger discovery,acquisition,KEEP_SOURCE,"preserve source path, SHA-256, source URL/date fields, and original status"
