account_id,priority,service_route,outcome_label,company,country,sector,website,buyer_role,public_contact,observable_signal,discovery_hypothesis,diagnostic_entry,source_state,next_internal_action,outreach_authority
BW-SL-001,A,Strategy & Transformation,Direction,TriAxis Consulting Firm,France,Europe-Africa strategic advisory,https://triaxisconsultingfirm.com/,Founder and CEO,info@triaxisconsultingfirm.com,"Franco-Nigerian consultancy with broad quantified proof and live market/news modules","Test whether cross-market positioning, proof hierarchy, and execution priorities are aligned; do not infer an internal problem","Direction-to-Execution Brief",existing research,"Reverify current site and prepare a buyer-specific five-question brief",draft-only
BW-SL-002,B,Strategy & Transformation,Direction,Romax Properties,Nigeria,Real estate development,https://www.romaxestate.com/,Founder/Managing Director,,"Existing public demand signal and owned platform","Test whether growth priorities, market positioning, and delivery ownership support the next stage","Direction-to-Execution Brief",deferred verified,"Reverify buyer role and current expansion or initiative trigger",research
BW-SL-003,A,Strategy & Transformation,Direction,Rustler Hungary,Hungary,Facility and property management,https://rustler.hu/en/facility-management/,Head of Facility Management,zeleznik@rustler.eu,"Four property types and a broad facility-management service offer share one route","Test whether distinct buyer groups and strategic priorities require clearer routes and ownership","Direction-to-Execution Brief",drafted test segment,"Hold existing draft; create strategy-route brief only after live recheck",draft-only
BW-SL-004,B,Strategy & Transformation,Direction,Westlink Facility Management Limited,Nigeria,Facility management,https://westlinkfm.com/,Managing Director/Commercial Director,info@westlinkfm.com,"Mature service portfolio with board, management, portfolio, and request-quote routes","Use as a high-quality account; seek a specific growth or transformation trigger before approach","Direction-to-Execution Brief",verified hold,"Research current expansion, contract, partnership, or transformation signal",research
BW-SL-005,B,Strategy & Transformation,Direction,Altilis Limited,Nigeria,MEP and facility management,https://www.altilisfm.com/,Managing Director/Business Development,bd@altilisfm.com,"MEP and FM offer with quote CTA and business-development route","Test whether offer architecture and growth priorities are clear across technical and facilities buyers","Direction-to-Execution Brief",existing research,"Verify leadership, initiative trigger, and proof before drafting",research
BW-SL-006,A,Digital Platforms & Brand Systems,Credibility,Crystal Property Management,Hungary,Property management,https://crystalproperty.hu/,Managing Director,info@crystalproperty.hu,"English navigation typo and a malformed-looking managing-director email","Public trust and enquiry details may create avoidable doubt near conversion","Credibility and Conversion Review",drafted awaiting approval,"Reverify exact issues and preserve current approval gate",draft-only
BW-SL-007,A,Digital Platforms & Brand Systems,Credibility,Homever,Hungary,Property management,https://homever.hu/en/,Founder/Managing Director,info@homever.hu,"English homepage showed a zero-value landlord recommendation counter","Proof presentation may weaken an otherwise relevant international-landlord offer","Credibility and Conversion Review",drafted awaiting approval,"Reverify live counter and exact recipient before approval",draft-only
BW-SL-008,A,Digital Platforms & Brand Systems,Credibility,Premier Property Management,Hungary,Property management,https://premierpropertymanagement.hu/,Managing Director,kata@ppmgt.hu,"Footer misspelling and limited proof near the main claim","Small credibility defects may add friction for international property owners","Credibility and Conversion Review",drafted awaiting approval,"Reverify live issue and existing Gmail/HubSpot history",draft-only
BW-SL-009,A,Digital Platforms & Brand Systems,Credibility,FirstClean,Hungary,Commercial cleaning,https://firstclean.hu/home,Managing Director,office@firstclean.hu,"English homepage contained property-search and template leftovers","Template remnants may create buyer confusion and weaken trust","Credibility and Conversion Review",drafted awaiting approval,"Reverify the English journey before any action",draft-only
BW-SL-010,A,Digital Platforms & Brand Systems,Credibility,607 Cleaning,Nigeria,Cleaning and facility services,https://www.607cleaning.com.ng/,Managing Director/Commercial Lead,info@607cleaning.com.ng,"Zero counters, generic team names, and repeated unsupported-video fallback text were verified on 2026-07-31","Trust-layer QA may improve confidence before quote enquiry","Credibility and Conversion Review",awaiting mobile approval,"Preserve exact approval item; do not send without approval",draft-only
