prospect_id,company,website,audit_preview_required,audit_type,audit_preview_status,audit_preview_pdf,trigger_event,send_with,skills_used,preview_thesis,next_action,follow_up_1_draft_id,last_generated_date
P-0001,Homerun,https://issbudapest.hu/,TRUE,conversion-audit-preview,Not started,,Follow-up 1,PDF attachment,agent-market-conversion; pdf,Owner enquiry path and proof for landlords can be clearer.,Generate preview after initial email is sent.,,
P-0002,Pyramidon,https://pyramidon.hu/en/,TRUE,geo-audit-preview,Sent,C:/Users/ELITEX21012G2/Projects/bridgeworks-workspace/pipeline/prospecting/audit-previews/bridgeworks-geo-audit-preview-pyramidon-2026-05-19.pdf,Follow-up 1,PDF attachment,geo-audit-preview; pdf,"Pyramidon has strong proof, but it needs to be structured for AI citation, entity recognition, and local-search visibility.",Wait for reply; follow up if no response after 3 business days. Old draft r-4799736847213580160 used wrong market-preview attachment and should not be sent.,sent:19e407582c757eff,2026-05-19
P-0003,Go2Flats,https://www.go2flats.com/,TRUE,conversion-audit-preview,Not started,,Follow-up 1,PDF attachment,agent-market-conversion; pdf,Owner acquisition path can likely be tightened.,Generate preview after initial email is sent.,,
P-0004,Tower Budapest,https://www.towerbudapest.com/,TRUE,geo-audit-preview,Not started,,Follow-up 1,PDF attachment,geo-audit; geo-technical; pdf,Landlord services and property management pages may need stronger AI visibility signals.,Generate preview after initial email is sent.,,
P-0005,Geiger Services,https://www.geigerservices.hu/en,TRUE,speed-to-lead-preview,Audit preview ready,C:/Users/ELITEX21012G2/Projects/bridgeworks-workspace/pipeline/prospecting/audit-previews/bridgeworks-audit-preview-geiger-services-2026-05-18.pdf,Follow-up 1,PDF attachment,agent-market-conversion; lead-qualifier; pdf,Commercial cleaning quote requests need a fast response promise and trust path.,Find email contact. Then create follow-up 1 Gmail draft with PDF attached.,,2026-05-18
P-0006,Kavezo Kft,https://kavezokft.hu/en/,TRUE,speed-to-lead-preview,Audit preview ready,C:/Users/ELITEX21012G2/Projects/bridgeworks-workspace/pipeline/prospecting/audit-previews/bridgeworks-audit-preview-kavezo-kft-2026-05-18.pdf,Follow-up 1,PDF attachment,agent-market-conversion; lead-qualifier; pdf,The free quote and site visit offer can be strengthened with follow-up automation.,Find email contact. Then create follow-up 1 Gmail draft with PDF attached.,,2026-05-18
P-0007,TakaritokEU,https://www.takaritok.eu/,TRUE,conversion-audit-preview,Not started,,Follow-up 1,PDF attachment,agent-market-conversion; pdf,Business cleaning segmentation and quote path can likely be clearer.,Generate preview after initial email is sent.,,
P-0008,CsikyGroup,https://csikygroup.hu/,TRUE,market-audit-preview,Not started,,Follow-up 1,PDF attachment,agent-market-strategy; agent-market-competitive; pdf,References and proof claims can be organized into a stronger trust path.,Generate preview after initial email is sent.,,
P-0009,Nevoxa,https://www.nevoxa.hu/,TRUE,conversion-audit-preview,Not started,,Follow-up 1,PDF attachment,agent-market-conversion; pdf,Quote conversion and trust signals need deeper review.,Generate preview after initial email is sent.,,
P-0010,Crystal Property,https://crystalproperty.hu/,TRUE,geo-audit-preview,Not started,,Follow-up 1,PDF attachment,geo-audit; agent-market-technical; pdf,Investor and landlord discovery can likely be strengthened with structured proof.,Generate preview after initial email is sent.,,
P-0011,Budbed,https://budbed.hu/en/,TRUE,conversion-audit-preview,Not started,,Follow-up 1,PDF attachment,agent-market-conversion; pdf,Owner partner conversion path can likely be clearer.,Generate preview after initial email is sent.,,
P-0012,Easy Office Clean,https://easyofficeclean.hu/,TRUE,speed-to-lead-preview,Not started,,Follow-up 1,PDF attachment,agent-market-conversion; lead-qualifier; pdf,Quote path and response promise should be checked before outreach.,Generate preview after initial email is sent.,,
